,feature,importance
389,loc_lochovice,2.842703027984256e-05
686,loc_tyniste,2.8377309000404914e-05
287,loc_kamenicky,2.8244121125940305e-05
131,loc_cernosice,2.815138834417956e-05
429,loc_mlekojedy,2.7509794555963115e-05
719,loc_veverska,2.7341557258620106e-05
216,loc_hluk,2.7263881766750466e-05
581,loc_rybitvi,2.724523436973201e-05
571,loc_rotava,2.720209129604151e-05
492,loc_otovice,2.7113089211157195e-05
422,loc_milotice,2.6942099930537485e-05
150,loc_chrastany,2.6926033290053012e-05
725,loc_vitkov,2.6851323844226806e-05
318,loc_kostany,2.6761499445804264e-05
198,loc_frymburk,2.6569438506735493e-05
715,loc_velky,2.639587167745631e-05
462,loc_novosedlice,2.6335175579491722e-05
154,loc_chvaletice,2.6257080420626616e-05
643,loc_suchy,2.603374549078286e-05
88,loc_bolatice,2.5801945744973443e-05
212,loc_hlizov,2.4791603452402896e-05
64,loc_bela,2.4691833722859283e-05
607,loc_smrzovka,2.455968937969605e-05
319,loc_kostelec,2.452259865948798e-05
525,loc_popuvky,2.4330789934928497e-05
201,loc_haj,2.404781073369223e-05
670,loc_trebechovice,2.372125401837499e-05
156,loc_chynava,2.3687865567495732e-05
625,loc_stepanovice,2.345789596755563e-05
418,loc_mikulasovice,2.324194049372498e-05
98,loc_bradlec,2.3202637328755643e-05
292,loc_karlstejn,2.3180673799906825e-05
775,loc_zelenec,2.2996517989780736e-05
342,loc_kunice,2.27111196811497e-05
14,kindergarten,2.268611600497545e-05
219,loc_holesov,2.2268043059515024e-05
459,loc_nosovice,2.209943743138152e-05
694,loc_upice,2.203389454561794e-05
557,loc_rancirov,2.1755848171861325e-05
420,loc_milevsko,2.154236776660247e-05
330,loc_kraslice,2.1394474740756156e-05
226,loc_horni,2.1313658011616746e-05
639,loc_stribro,2.125881362047447e-05
309,loc_kolomuty,2.0646378953677257e-05
132,loc_cernotin,2.0492566089740435e-05
290,loc_karez,2.0482739811003062e-05
500,loc_pchery,2.0470689960181174e-05
248,loc_hrusovany,2.0314305755035e-05
590,loc_sehradice,2.0296262697382507e-05
503,loc_pelhrimov,1.9929800383615066e-05
566,loc_rochov,1.991503137644352e-05
79,loc_blatno,1.983641409915755e-05
681,loc_tuchomerice,1.974397835807559e-05
304,loc_klicany,1.955540469410826e-05
596,loc_skalice,1.9547552953963004e-05
654,loc_svor,1.944800231858303e-05
193,loc_felbabka,1.9200532816998512e-05
351,loc_lanskroun,1.9197555091562504e-05
32,small_shop,1.8350532642921504e-05
380,loc_lipnik,1.8259480945550352e-05
426,loc_mistrice,1.8192939683427856e-05
188,loc_dubnany,1.7962398352024962e-05
633,loc_straz,1.7925034748306197e-05
729,loc_vodnany,1.773994176033847e-05
166,loc_dalovice,1.742974908723025e-05
479,loc_oparany,1.740837962656064e-05
361,loc_letovice,1.709517608459536e-05
739,loc_vrchlabi,1.695705079909071e-05
760,loc_zasmuky,1.6707631478479012e-05
593,loc_sestajovice,1.6545736326829375e-05
444,loc_myto,1.6517549952840525e-05
726,loc_vizovice,1.6179024873190955e-05
585,loc_sadov,1.6069493641058858e-05
324,loc_kozusany,1.5952270196636762e-05
468,loc_nyrsko,1.5886015403523055e-05
369,loc_liberk,1.5819406698203718e-05
163,loc_cvikov,1.5646548144641706e-05
771,loc_zdice,1.551084591818569e-05
391,loc_lom,1.5479039199497247e-05
213,loc_hlubocky,1.5103895409978457e-05
312,loc_konice,1.4897366937069046e-05
28,restaurant,1.4889737550160281e-05
451,loc_neplachovice,1.4801068314440582e-05
628,loc_stezery,1.46651983631862e-05
539,loc_prezletice,1.4548765480506217e-05
137,loc_chabarovice,1.453090863747249e-05
155,loc_chvalkovice,1.4491933728179291e-05
553,loc_rajecko,1.4468902696338549e-05
554,loc_rajhrad,1.4275613910578038e-05
202,loc_hamr,1.4208934967286372e-05
684,loc_tyn,1.4156322871833283e-05
366,loc_libcice,1.4120042762927966e-05
766,loc_zbuch,1.4116986359518092e-05
735,loc_vranovice,1.4053499004080816e-05
785,loc_zlutava,1.402226305026271e-05
295,loc_kasperske,1.3979315166988215e-05
599,loc_slapanice,1.3858513644726375e-05
516,loc_pocenice,1.3857903991907684e-05
393,loc_lostice,1.384669447285328e-05
624,loc_stepanov,1.3780491571027146e-05
496,loc_pacov,1.3688835395742418e-05
223,loc_horazdovice,1.3630406736704196e-05
756,loc_zakolany,1.3613120212090387e-05
297,loc_ketkovice,1.3602795091280022e-05
307,loc_kojetin,1.3588881430268001e-05
743,loc_vsemina,1.3522650376494749e-05
742,loc_vresina,1.3275445060564568e-05
755,loc_zajeci,1.3115869428102848e-05
622,loc_statenice,1.300952142142564e-05
407,loc_luze,1.2802822307892613e-05
660,loc_telc,1.2697409638901142e-05
296,loc_kaznejov,1.247640472949679e-05
102,loc_branov,1.2476296049283394e-05
486,loc_osek,1.2304635272314643e-05
485,loc_osecek,1.2020981208654524e-05
606,loc_smirice,1.2009615747641785e-05
139,loc_chlumcany,1.1997040765400152e-05
387,loc_litovel,1.1929154278205866e-05
644,loc_sudomerice,1.1904929516843556e-05
632,loc_strasice,1.1888776092540015e-05
750,loc_vysoky,1.1885766820151904e-05
647,loc_svarov,1.1882725903294418e-05
367,loc_libechov,1.1861292283222184e-05
471,loc_odry,1.185260127571008e-05
698,loc_uvaly,1.1469421252254692e-05
246,loc_hroznetin,1.1259393139974609e-05
730,loc_volary,1.1103411044881107e-05
734,loc_vranov,1.1025714421577041e-05
483,loc_opolany,1.0898058316680186e-05
789,loc_zulova,1.0864581744383073e-05
176,loc_dobruska,1.0854611485572238e-05
716,loc_vemyslice,1.0834082507151373e-05
352,loc_lany,1.0781786754706992e-05
152,loc_chropyne,1.0629830678909426e-05
588,loc_sanov,1.048655141230392e-05
652,loc_svoboda,1.030534278209491e-05
266,loc_jedovnice,1.016483681597742e-05
305,loc_klimkovice,9.870852345849816e-06
723,loc_vimperk,9.850434048427331e-06
655,loc_syrovice,9.811588301758842e-06
568,loc_rokycany,9.810495888681513e-06
708,loc_velen,9.770359389384077e-06
